feature,abs_rpb,MI,ks_stat,abs_rpb_n,MI_n,ks_stat_n,score
day_of_week_sin,0.06740814377677164,0.01906455023125453,0.07997067126421073,0.806756046238865,1.0,0.9302125739819758,0.912322873406947
inventory_zscore,0.0365058636317878,0.011606963327860598,0.06665453870497379,0.43691050603094955,0.6088243985337812,0.77532036478082,0.6070184231151836
conflict_event_count_log1p,0.08355455666063069,0.0,0.06686508504502275,1.0,0.0,0.7777694232896871,0.592589807763229
conflict_intensity_7d_log1p,0.07916340578417011,0.0,0.06951723017055177,0.9474457043163319,0.0,0.808618967313662,0.5853548905433313
gdelt_volume_lag1_log1p,0.039968736038300826,0.009399636528367505,0.059039779406536354,0.4783549531671841,0.4930426584602919,0.68674608204346,0.5527145645569788
inventory_change_pct,0.05388492669768689,0.0,0.08597031850674626,0.6449070984428601,0.0,1.0,0.54830236614762
fatalities_log1p,0.058865100706735105,0.002603748909320913,0.06084973917186953,0.7045109573835033,0.13657541760687922,0.7077993920319666,0.5162952556741164
gdelt_goldstein,0.04650419331989346,0.003728783925165846,0.06566829532263918,0.5565727972057488,0.1955873010344014,0.7638484591340214,0.5053361857913905
fatalities_7d_log1p,0.031873686535309774,0.008611138357559778,0.05585572773772575,0.3814715535475762,0.4516832683229332,0.6497094428391892,0.49428808823656617
gdelt_goldstein_7d,0.051351629291666964,0.0,0.06527213576175758,0.6145880170274767,0.0,0.7592403622028636,0.4579427930767801
oil_return_lag2,0.010832427594127884,0.012835456800254885,0.04406143889954446,0.1296449652425948,0.6732630271661152,0.5125192004038798,0.43847573093752995
gdelt_tone_30d,0.01817762621875736,0.008703861651123468,0.05502554721270814,0.21755397844534685,0.4565469179993719,0.640052848104665,0.43805124818312796
gdelt_tone_7d,0.03286871387317462,0.004882940540023029,0.052857289289747776,0.3933802677773255,0.25612671061171477,0.6148318420572091,0.42144627348208313
oil_return,0.040603284142163985,0.0,0.0506640982475711,0.4859493696684944,0.0,0.5893208159231769,0.35842339519722377
gdelt_tone_lag1,0.03562452557570362,0.0,0.05385461405840075,0.42636245106772513,0.0,0.6264326455202638,0.35093169886266296
gdelt_events_log1p,0.034591697191081856,0.0,0.05106302815503229,0.41400132528476213,0.0,0.5939611373083987,0.3359874875310536
vix_return_slog1p,0.008169275847139685,0.011564847923602795,0.021021389845941027,0.09777175744370734,0.6066153034464626,0.24451915743794106,0.316302072776037
production_change_pct_slog1p,0.011824006010524368,0.004567616064051538,0.04832130849009647,0.14151240199321904,0.2395868776680272,0.5620696692696864,0.3143896496436442
month_sin,0.03859731823955951,0.0,0.03813197377035858,0.4619415120150572,0.0,0.4435481272221446,0.30182987974573394
yield_spread,0.006942646379358324,0.005718914573822342,0.0441039175470982,0.0830911760750155,0.2999763699878281,0.5130133086995284,0.298693618254124
day_of_week_cos,0.005814483522976807,0.0,0.06308263851502036,0.06958906558014784,0.0,0.7337723020075835,0.2677871225292438
net_imports_change_pct_slog1p,0.006560275870539924,0.0,0.060807260524315794,0.0785148785743124,0.0,0.707305283736318,0.26194005410354343
oil_return_lag1,0.024260586933139587,0.0,0.039795105166973405,0.2903562403146675,0.0,0.46289354114525705,0.25108326048664154
month_cos,0.021556447846362993,0.0,0.042450020639082015,0.25799248668050173,0.0,0.4937753096232961,0.2505892654345993
sp500_return,0.003082844464008097,0.0037735394133804334,0.033537815692535854,0.036896186003709294,0.19793487743519236,0.39010924089927707,0.2083134347793929
usd_return,0.0026234765747986987,0.0,0.05034181459547861,0.03139836628484956,0.0,0.5855720377670601,0.20565680135063658
vix_lag1_log1p,0.0008145555707306302,0.0,0.022623573617804833,0.00974878693976044,0.0,0.2631556333716446,0.09096814010380168
